38,89,286,601,604,605,615,723,822,869,969,1349,1407,1489,1491
1521,1531,1596,1657,1806,1972,2828,2836,3870,4509,4629,4706,4899,4923,5835
6039,6040,6349,6403,6966,7262,7272,7375,8150,8165,8177,8224,8359,8548,8554
8557,8583,8653,8654,8680,8841,8952,8963,8979,8996,8999,9448,9451,9455,9532
9569,9586,9613,9769,9806,9833,9982,9998,10291,10386,10463,10699,10720,10851,11003
11137,11148,11376,11428,11452,11480,11606,11639,11688,11709,11953,11976,11986,11995,12037
12046,12094,12108,12111,12126,12142,12146,12509,12522,12617,12621,12653,12682,12883,12890
13152,13157,13162,13171,13531,13759,13768,13784,13856,14180,14189,14367,14712,15075,15366
15731,15808,15875,16114,16559,16934,16935,17059,17132,17200,17376,17477,17506,17549,17561
17623,17720,17770,17791,,,,,,,,,,,
7302,16732,17001,17516,17541,,,,,,,,,,
,,,,,,,,,,,,,,
302,307,319,580,649,695,708,776,854,932,936,1020,1619,1631,1963
4659,4866,4932,6894,8522,8612,9035,9047,9065,9564,9649,9651,9659,9688,9789
9794,9796,9860,9921,9989,10151,10283,10625,10677,10969,11097,11196,11350,11426,11548
11748,11854,11947,11953,12064,12224,12416,12625,12642,13095,13166,13252,13275,13502,13983
14001,14002,14005,14027,14102,14214,14216,14312,14321,14328,14399,14400,14419,14440,14448
14471,14491,14496,14523,14538,14626,14636,14655,14743,14771,14784,14788,14794,14801,14817
14824,15185,15226,15283,15352,15354,15416,15467,15571,15619,15690,15760,15831,16386,16387
16493,16565,16652,16671,16844,16847,16870,16896,16962,17006,17057,17164,17204,17206,17252
17311,17320,17485,17675,,,,,,,,,,,
2801,3660,4526,4563,4568,5483,5486,8106,8616,11794,,,,,
,,,,,,,,,,,,,,
68,1188,2342,3158,3689,4002,4571,13568,,,,,,,
16641,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
118,189,336,614,1265,1359,1562,1587,1588,1621,2340,3419,4569,4570,4620
5244,6478,8161,9719,9901,10703,10864,11574,11718,12824,13259,13855,14508,14800,17063
17070,17232,17545,17640,,,,,,,,,,,
,,,,,,,,,,,,,,
8,11,45,118,137,158,199,320,346,354,806,825,1213,1815,2036
6163,6979,6981,8365,8913,8987,8991,8996,9213,9336,9581,9878,9923,9932,10156
10183,10246,10543,10594,10658,11240,11394,11749,11850,11924,11939,11964,11984,12046,13083
13439,14005,14064,14180,14260,14301,14379,15052,15089,17172,17198,17260,17360,17782,17784
,,,,,,,,,,,,,,
584,691,808,1251,1443,1445,1449,1536,2295,2300,2924,3070,3083,3312,3335
3341,3352,3353,3358,3359,3608,4094,4689,4690,4769,4770,4908,4977,5314,6523
6525,6690,6692,7200,7603,7608,7812,8045,8172,8261,8373,8477,8479,8767,9285
9319,9414,9435,9445,9453,10056,10058,10060,10062,10064,10126,10359,10550,10710,10902
